# Column 3_Nominal GDP(INR): Amount in lac crore, Column 4_,Nominal GDP(USD): Amount ins dollar
States,Rank,NominalGDP_INR,NominalGDP_USD,Data year
MH,1,22.03,330,2016-17
TN,2,13.69,208,2016-17
UP,3,12.37,184,2016-17
GJ,4,10.94,167,2016-17
WB,5,9.20,137,2015-16
KA,6,9.08,130,2015-16
RJ,7,7.67,110,2016-17
KL,8,7.48,110,2017-18
MP,9,7.35,110,2017-18
AP,10,13.54,100,2016-17
BR,12,6.32,94,2017-18
DL,13,6.22,92,2016-17
HR,14,4.42,66,2014-15
OR,15,4.12,61,2017-18
PB,16,4.09,61,2015-16
CG,17,2.77,41,2017-18
AS,18,2.58,38,2017-18
JH,19,2.20,33,2014-15
UK,20,1.85,28,2015-16
JK,21,1.32,20,2016-17
HP,22,1.24,19,2016-17
GA,23,0.45548,6.8,2014-15
CH,24,0.29368,4.4,2014-15
ML,25,0.27305,4.1,2015-16
TR,26,0.26810,4.0,2013-14
PY,27,0.23747,3.5,2014-15
AR,28,0.19492,2.9,2015-16
NL,29,0.17727,2.6,2014-15
MN,30,0.14324,2.1,2013-14
SK,31,0.12377,1.8,2013-14
MZ,32,0.11458,1.7,2014-15
AN,33,0.06150,0.91,2013-14
DH,34,0.02440,0.36,2014-15
DD,35,0.01059,0.16,2014-15
LD,36,0.00407,0.060,2014-15
India,6,153,2175,2016-17
