# Woman parity in higher education
States,AllCategories,SCStudents,STStudents
AN,1.39,,2.01
AP,0.76,0.74,0.53
AR,0.58,0.66,0.66
AS,1.01,1.17,0.98
BR,0.77,0.67,0.94
CH,0.96,1.72,
CG,0.72,0.84,0.83
DH,1.14,1.86,0.59
DD,2.11,2.07,0.49
DL,0.85,0.74,
GA,1.16,0.91,1
GJ,0.8,0.79,0.82
HR,0.76,0.7,
HP,1,1.03,1
JK,0.98,1,0.42
JH,0.85,0.7,1.11
KA,0.92,0.86,0.84
KL,1.34,1.76,1.1
LD,,,
MP,0.79,0.67,0.58
MH,0.79,0.76,0.53
MN,0.86,1,0.77
ML,1.29,0.91,1.34
MZ,0.96,1,0.91
NL,0.65,,0.98
OR,0.78,0.77,0.76
PY,0.92,0.8,
PB,0.62,0.78,
RJ,0.72,0.63,0.66
SK,0.85,0.91,1.35
TN,0.8,0.85,0.57
TR,0.69,0.71,0.61
UP,1.14,1.11,1
UK,1.13,1.03,1.1
WB,0.79,0.74,0.66
India,0.86,0.84,0.74
