# "C-13 APPENDIX - SINGLE YEAR AGE RETURNS BY RESIDENCE, SEX  AND LITERACY STATUS"
Table.Name,State.code,Dist.Code,Area.Name,Literate.Illiterate,Age,Persons.All,Males.All,Females.All,Persons.Rural,Males.Rural,Females.Rural,Persons.Urban,Males.Urban,Females.Urban
C3813A,00,00,India,Literate,101,763638812,434763622,328875190,482793835,281361374,201432461,280844977,153402248,127442729
C3813A,00,00,India,Literate,0,0,0,0,0,0,0,0,0,0
C3813A,00,00,India,Literate,1,0,0,0,0,0,0,0,0,0
C3813A,00,00,India,Literate,2,0,0,0,0,0,0,0,0,0
C3813A,00,00,India,Literate,3,0,0,0,0,0,0,0,0,0
C3813A,00,00,India,Literate,4,0,0,0,0,0,0,0,0,0
C3813A,00,00,India,Literate,5,0,0,0,0,0,0,0,0,0
C3813A,00,00,India,Literate,6,0,0,0,0,0,0,0,0,0
C3813A,00,00,India,Literate,7,18078426,9514681,8563745,12854588,6757329,6097259,5223838,2757352,2466486
C3813A,00,00,India,Literate,8,22836959,12048195,10788764,16867631,8883920,7983711,5969328,3164275,2805053
C3813A,00,00,India,Literate,9,20932734,11016646,9916088,15147582,7947440,7200142,5785152,3069206,2715946
C3813A,00,00,India,Literate,10,27097602,14428312,12669290,19942745,10600205,9342540,7154857,3828107,3326750
C3813A,00,00,India,Literate,11,22752473,12033276,10719197,16297676,8608702,7688974,6454797,3424574,3030223
C3813A,00,00,India,Literate,12,25485778,13550572,11935206,18674851,9934005,8740846,6810927,3616567,3194360
C3813A,00,00,India,Literate,13,22470207,11772852,10697355,16063511,8420076,7643435,6406696,3352776,3053920
C3813A,00,00,India,Literate,14,23157384,12244668,10912716,16528071,8758372,7769699,6629313,3486296,3143017
C3813A,00,00,India,Literate,15,23299497,12563120,10736377,16519535,8958668,7560867,6779962,3604452,3175510
C3813A,00,00,India,Literate,16,22079806,11917057,10162749,15440173,8399696,7040477,6639633,3517361,3122272
C3813A,00,00,India,Literate,17,19179012,10469408,8709604,12864746,7099947,5764799,6314266,3369461,2944805
C3813A,00,00,India,Literate,18,24230172,13488663,10741509,16575468,9352281,7223187,7654704,4136382,3518322
C3813A,00,00,India,Literate,19,18280414,9908961,8371453,11825508,6479154,5346354,6454906,3429807,3025099
C3813A,00,00,India,Literate,20,23909575,13090262,10819313,15965907,8895139,7070768,7943668,4195123,3748545
C3813A,00,00,India,Literate,21,17182886,9525858,7657028,10724508,6096039,4628469,6458378,3429819,3028559
C3813A,00,00,India,Literate,22,19451235,10915987,8535248,12456002,7195943,5260059,6995233,3720044,3275189
C3813A,00,00,India,Literate,23,15909972,8661031,7248941,9742024,5425018,4317006,6167948,3236013,2931935
C3813A,00,00,India,Literate,24,16291062,8924529,7366533,9869080,5562827,4306253,6421982,3361702,3060280
C3813A,00,00,India,Literate,25,21157909,11868108,9289801,13537822,7894535,5643287,7620087,3973573,3646514
C3813A,00,00,India,Literate,26,16002881,8904360,7098521,9607157,5539171,4067986,6395724,3365189,3030535
C3813A,00,00,India,Literate,27,13477556,7493450,5984106,7832741,4505746,3326995,5644815,2987704,2657111
C3813A,00,00,India,Literate,28,16609586,9098579,7511007,10141668,5701932,4439736,6467918,3396647,3071271
C3813A,00,00,India,Literate,29,11531593,6417372,5114221,6507733,3746822,2760911,5023860,2670550,2353310
C3813A,00,00,India,Literate,30,21149737,12211844,8937893,13356828,8020675,5336153,7792909,4191169,3601740
C3813A,00,00,India,Literate,31,10647483,6070718,4576765,5942953,3526520,2416433,4704530,2544198,2160332
C3813A,00,00,India,Literate,32,12807680,7303343,5504337,7583906,4479726,3104180,5223774,2823617,2400157
C3813A,00,00,India,Literate,33,9415375,5224594,4190781,5351181,3053150,2298031,4064194,2171444,1892750
C3813A,00,00,India,Literate,34,10245116,5819425,4425691,5733891,3389149,2344742,4511225,2430276,2080949
C3813A,00,00,India,Literate,35,18388103,11158216,7229887,11405829,7278133,4127696,6982274,3880083,3102191
C3813A,00,00,India,Literate,36,11040369,6434171,4606198,6374333,3907567,2466766,4666036,2526604,2139432
C3813A,00,00,India,Literate,37,8401340,4801621,3599719,4618035,2768728,1849307,3783305,2032893,1750412
C3813A,00,00,India,Literate,38,11394227,6445374,4948853,6645732,3921812,2723920,4748495,2523562,2224933
C3813A,00,00,India,Literate,39,8053518,4741031,3312487,4338768,2690419,1648349,3714750,2050612,1664138
C3813A,00,00,India,Literate,40,16604355,10436450,6167905,10237185,6779237,3457948,6367170,3657213,2709957
C3813A,00,00,India,Literate,41,7822152,4775158,3046994,4192533,2723241,1469292,3629619,2051917,1577702
C3813A,00,00,India,Literate,42,8726307,5302304,3424003,4837173,3112748,1724425,3889134,2189556,1699578
C3813A,00,00,India,Literate,43,6188597,3604811,2583786,3241709,1987087,1254622,2946888,1617724,1329164
C3813A,00,00,India,Literate,44,6289829,3771631,2518198,3282822,2094655,1188167,3007007,1676976,1330031
C3813A,00,00,India,Literate,45,13149218,8413066,4736152,7823109,5326437,2496672,5326109,3086629,2239480
C3813A,00,00,India,Literate,46,6937791,4262767,2675024,3685585,2424027,1261558,3252206,1838740,1413466
C3813A,00,00,India,Literate,47,5289238,3194157,2095081,2654050,1708741,945309,2635188,1485416,1149772
C3813A,00,00,India,Literate,48,6920672,4174918,2745754,3741110,2389377,1351733,3179562,1785541,1394021
C3813A,00,00,India,Literate,49,4943645,3077690,1865955,2473311,1644722,828589,2470334,1432968,1037366
C3813A,00,00,India,Literate,50,10813513,7035249,3778264,6432911,4469964,1962947,4380602,2565285,1815317
C3813A,00,00,India,Literate,51,4877775,3138325,1739450,2483648,1718009,765639,2394127,1420316,973811
C3813A,00,00,India,Literate,52,4855189,3084680,1770509,2502586,1701428,801158,2352603,1383252,969351
C3813A,00,00,India,Literate,53,3648744,2260327,1388417,1746146,1146956,599190,1902598,1113371,789227
C3813A,00,00,India,Literate,54,4051825,2523672,1528153,1958667,1308057,650610,2093158,1215615,877543
C3813A,00,00,India,Literate,55,7690633,4969516,2721117,4481267,3097312,1383955,3209366,1872204,1337162
C3813A,00,00,India,Literate,56,4203895,2699754,1504141,2157569,1489264,668305,2046326,1210490,835836
C3813A,00,00,India,Literate,57,2938623,1866135,1072488,1402010,951742,450268,1536613,914393,622220
C3813A,00,00,India,Literate,58,3743110,2340320,1402790,1922536,1272939,649597,1820574,1067381,753193
C3813A,00,00,India,Literate,59,2887713,1874559,1013154,1412213,985556,426657,1475500,889003,586497
