# Woman parity in higher education
States,AllCategories,SCStudents,STStudents
Andaman and Nicobar Islands,1.39,,2.01
Andhra Pradesh,0.76,0.74,0.53
Arunachal Pradesh,0.58,0.66,0.66
Assam,1.01,1.17,0.98
Bihar,0.77,0.67,0.94
Chandigarh,0.96,1.72,
Chhattisgarh,0.72,0.84,0.83
Dadra and Nagar Haveli,1.14,1.86,0.59
Daman and Diu,2.11,2.07,0.49
Delhi,0.85,0.74,
Goa,1.16,0.91,1
Gujarat,0.8,0.79,0.82
Haryana,0.76,0.7,
Himachal Pradesh,1,1.03,1
Jammu and Kashmir,0.98,1,0.42
Jharkhand,0.85,0.7,1.11
Karnataka,0.92,0.86,0.84
Kerala,1.34,1.76,1.1
Lakshdweep,,,
Madhya Pradesh,0.79,0.67,0.58
Maharashtra,0.79,0.76,0.53
Manipur,0.86,1,0.77
Meghalaya,1.29,0.91,1.34
Mizoram,0.96,1,0.91
Nagaland,0.65,,0.98
Orrisa,0.78,0.77,0.76
Puducherry,0.92,0.8,
Punjab,0.62,0.78,
Rajasthan,0.72,0.63,0.66
Sikkim,0.85,0.91,1.35
Tamil Nadu,0.8,0.85,0.57
Tripura,0.69,0.71,0.61
Uttar Pradesh,1.14,1.11,1
Uttaranchal,1.13,1.03,1.1
West Bengal,0.79,0.74,0.66
India,0.86,0.84,0.74
