#Unemployment Rates 2015-16 (per 1000)[1]
States,Total,Urban,Rural
Assam,178,163,199
Sikkim,181,168,184
Kerala,125,126,125
Himachal Pradesh,106,23,117
Goa,69,55,137
Arunachal Pradesh,89,52,93
Nagaland,85,141,69
Jharkhand,77,94,73
Uttar Pradesh,74,67,76
Jammu and Kashmir,72,36,83
Rajasthan,71,43,77
Uttaranchal,70,32,81
Bihar,58,99,48
Punjab,60,62,59
Tripura,56,67,55
Manipur,57,70,49
Orrisa,50,47,51
West Bengal,49,56,47
Meghalaya,48,134,28
Haryana,47,39,53
Madhya Pradesh,43,40,44
Tamil Nadu,42,36,45
Andhra Pradesh,39,44,38
Mizoram,30,49,15
Maharashtra,21,23,20
Chhattisgarh,19,68,11
Karnataka,15,19,13
Gujarat,9,7,10
Delhi,,,
Daman and Diu,,,  
Dadra and Nagar Haveli,,,
Andaman and Nicobar Islands,,,
Puducherry,,,
Lakshadweep,,,
Chandigarh,,,
India,50,49,51
