# Expenditure on Education* – As Ratio to Aggregate Expenditure of their own state
States,year2006_07,year2007_08,year2008_09,year2009_10,year2010_11,year2011_12,year2012_13
AP,10.8,9.0,9.0,10.0,12.5,14.0,13.6
BR,19.7,17.6,18.5,18.1,16.3,16.6,19.5
CG,12.9,13.5,14.4,15.6,18.6,19.0,17.8
GA,13.7,12.3,13.3,14.1,15.4,16.6,15.4
GJ,12.7,13.4,11.7,13.8,15.9,16.1,13.4
HR,11.9,12.9,15.0,16.3,17.3,16.6,18.3
JH,15.2,15.1,18.6,15.4,15.8,17.0,17.0
KA,13.1,14.4,16.1,14.0,15.6,15.5,14.8
KL,17.1,15.9,16.7,16.8,17.0,17.6,17.0
MP,12.4,11.1,12.8,13.0,14.2,13.3,14.8
MH,16.4,17.2,17.0,19.1,20.8,19.9,19.8
OR,12.8,14.3,16.9,18.2,18.3,16.9,15.7
PB,8.9,10.3,11.3,12.2,11.7,15.6,14.2
RJ,15.6,14.6,17.9,19.0,19.1,18.0,18.5
TN,12.2,12.7,13.1,15.2,15.2,14.5,15.0
UP,14.7,14.1,13.2,13.8,16.1,17.4,17.6
WB,15.2,15.2,13.1,17.7,19.7,19.4,17.8
AR,10.7,10.8,11.4,12.2,10.8,9.1,8.3
AS,20.4,20.1,18.8,16.4,22.0,18.7,21.1
HP,14.1,15.4,16.2,16.3,17.9,18.8,17.5
JK,10.0,9.2,10.0,11.3,12.6,13.4,13.0
MN,11.9,14.2,12.0,11.9,10.7,11.3,9.9
ML,14.1,15.5,12.8,14.8,16.1,17.0,16.5
MZ,13.8,13.2,14.1,14.9,14.9,15.7,14.5
NL,12.3,11.4,11.2,11.3,13.4,12.0,12.0
SK,10.5,9.2,10.6,12.4,17.3,12.1,12.5
TR,15.9,15.1,14.4,16.2,17.2,17.2,13.8
UK,18.1,17.6,18.2,22.6,23.5,18.2,20.8
DL,,,,,,,
DD,,,,,,,  
DH,,,,,,,
AN,,,,,,,
PY,,,,,,,
LD,,,,,,,
CH,,,,,,,
India,14.0,13.8,14.3,15.3,16.6,16.6,16.5
